,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
40,0000202485204443012800000000,,,0,0,1168010100106200017,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110207,,,,,,,,1441,11680,"POLYGON ((202486.3600000003 444303.0629999992, 202486.5319999997 444302.0940000005, 202486.9230000004 444302.1260000002, 202487.0949999997 444299.9379999992, 202483.5949999997 444299.6569999997, 202483.3449999997 444301.5319999997, 202483.7359999996 444301.5319999997, 202483.4859999996 444302.7190000005, 202486.3600000003 444303.0629999992))"
41,1995202719544443381800000000,,,3,1,1168010100106360010,126.36,469.08,210.9,10.2,11,01000,59.91,154.0,15207,19951209,20200425,0,0,B00100000000SQZC8,,,,1168010100106360010023468,1493,11680,"POLYGON ((202725.284 444331.8090000004, 202718.5029999996 444329.216, 202713.1129999999 444344.2479999997, 202720.5039999997 444347.0289999992, 202725.5970000001 444334.0899999999, 202724.6749999998 444333.5600000005, 202725.284 444331.8090000004))"
42,1978202420144442317700000000,,,2,1,1168010100108170019,144.69,322.2,270.5,8.7,32,04000,53.49,105.55,3782,19780323,20170224,0,0,B00100000000SNH0A,,,,1168010100108170019023671,1494,11680,"POLYGON ((202428.9989999998 444226.7190000005, 202416.7019999996 444222.7520000003, 202411.6239999998 444236.8139999993, 202422.983 444241.0639999993, 202428.9989999998 444226.7190000005))"
43,1983202446464445523400000000,,,2,1,1168010100106180007,98.16,246.47,0.0,0.0,11,03000,0.0,0.0,9769,19831213,20170416,0,0,B0010000000BOB8WS,,,,1168010100106180007022962,1699,11680,"POLYGON ((202453.6459999997 444553.3469999991, 202447.5360000003 444544.1290000007, 202438.8329999996 444550.0969999991, 202446.0990000004 444560.7850000001, 202451.4740000004 444557.4719999991, 202450.2079999996 444555.7540000007, 202453.6459999997 444553.3469999991))"
44,1991202835814442701900000000,,,5,2,1168010100106470002,221.34,1486.67,372.6,18.8,21,04000,59.4,284.16,17981,19911212,20170408,0,0,B00100000000SN6DC,,,,1168010100106470002023600,1724,11680,"POLYGON ((202833.1749999998 444277.0260000005, 202833.7529999996 444275.4629999995, 202838.2529999996 444276.932, 202839.284 444274.2129999995, 202840.6440000003 444274.7129999995, 202843.3310000002 444275.7129999995, 202844.0029999996 444275.557, 202846.4560000002 444267.7440000009, 202840.6440000003 444265.6199999992, 202830.7060000002 444261.9949999992, 202825.7999999998 444274.3379999995, 202833.1749999998 444277.0260000005))"
45,1973202385804446529900000000,,,2,1,1168010100106150016,93.19,180.73,0.0,0.0,11,01000,0.0,0.0,6220,19731128,20170316,0,0,B00100000000SQ1XU,,,,1168010100106150016022669,1728,11680,"POLYGON ((202392.8810000001 444651.6300000008, 202381.5999999996 444647.1300000008, 202378.7400000002 444654.443, 202390.0839999998 444658.818, 202392.8810000001 444651.6300000008))"
46,1986202860864444550500000000,,,2,1,1168010100106380005,128.96,317.94,0.0,0.0,11,01000,0.0,0.0,19033,19860813,20170825,0,0,B00100000000SPPPA,,,,1168010100106380005023243,1552,11680,"POLYGON ((202867.1310000001 444452.6830000002, 202866.7249999996 444449.0580000002, 202851.8339999998 444450.9020000007, 202853.4289999995 444460.9639999997, 202870.585 444458.6830000002, 202870.0070000002 444452.7449999992, 202867.1310000001 444452.6830000002))"
47,2003202235814444287200000000,814-5,814-5,3,1,1168010100108140005,1571.5,10410.25,2611.0,0.0,21,04000,60.18,0.0,,20030513,20110207,0,0,B00100000000SNYIA,,,,1168010100108140005023263,1631,11680,"POLYGON ((202237.3140000002 444453.193, 202239.8140000002 444446.7559999991, 202238.2039999999 444446.0370000005, 202249.5949999997 444416.2870000005, 202249.017 444416.068, 202251.4850000003 444410.068, 202249.8289999999 444409.4739999995, 202250.0319999997 444408.818, 202238.8449999997 444404.6620000005, 202238.5949999997 444405.318, 202236.6890000002 444404.5059999991, 202236.5789999999 444404.4739999995, 202235.9539999999 444405.9739999995, 202235.2039999999 444405.7239999995, 202220.392 444444.9130000006, 202221.1260000002 444445.2880000006, 202220.7199999997 444446.6309999991, 202220.6100000003 444446.7569999993, 202222.5480000004 444447.4749999996, 202222.6569999997 444447.5380000006, 202222.4230000004 444448.1940000001, 202233.4390000002 444452.4120000005, 202233.8449999997 444451.7239999995, 202237.3140000002 444453.193))"
48,1995202450504443632400000000,,,2,1,1168010100106200003,242.82,576.15,554.4,7.95,21,03000,43.8,81.21,15212,19950517,20200425,0,0,B00100000000SQC9H,,,,1168010100106200003023410,1649,11680,"POLYGON ((202456.4239999996 444374.4389999993, 202462.2050000001 444358.9700000007, 202454.8150000004 444355.8450000007, 202454.5020000003 444356.6270000003, 202454.3609999996 444356.5639999993, 202444.3140000002 444352.7200000007, 202442.2829999998 444358.4079999998, 202441.6270000003 444358.1579999998, 202438.2520000003 444366.9389999993, 202443.2050000001 444368.9389999993, 202443.6430000002 444367.8139999993, 202443.7829999998 444367.8450000007, 202448.2680000002 444369.5329999998, 202447.7829999998 444370.9079999998, 202456.4239999996 444374.4389999993))"
49,2002202863444446786400000000,,,2,2,1168010100106080025,209.61,998.64,419.9,7.97,21,01000,49.92,97.72,23476,20020207,20170222,0,0,B00100000000SR5CE,,,,1168010100106080025022561,1591,11680,"POLYGON ((202859.6040000003 444688.7479999997, 202863.9790000003 444685.716, 202864.6979999999 444686.7789999992, 202871.9009999996 444682.0289999992, 202871.182 444680.841, 202874.8380000005 444678.3100000005, 202873.7290000003 444676.5289999992, 202874.4479999999 444675.9039999992, 202869.682 444668.5600000005, 202868.8689999999 444668.9979999997, 202868.5259999996 444668.2789999992, 202867.4479999999 444668.9039999992, 202867.0410000002 444668.2469999995, 202863.307 444670.5600000005, 202863.7450000001 444671.341, 202862.1979999999 444672.341, 202861.8540000003 444671.9039999992, 202858.1509999996 444674.3729999997, 202859.7910000002 444677.0600000005, 202858.9790000003 444677.5600000005, 202857.5259999996 444675.5600000005, 202855.6040000003 444676.6539999992, 202855.2599999998 444675.9969999995, 202850.682 444679.0600000005, 202851.1189999999 444679.8729999997, 202850.2759999996 444680.3729999997, 202852.6979999999 444684.0600000005, 202854.5259999996 444682.8729999997, 202857.6349999998 444687.5600000005, 202858.4630000005 444686.9979999997, 202859.6040000003 444688.7479999997))"
