,UFID,BLD_NM,DONG_NM,GRND_FLR,UGRND_FLR,PNU,ARCHAREA,TOTALAREA,PLATAREA,HEIGHT,STRCT_CD,USABILITY,BC_RAT,VL_RAT,BLDRGST_PK,USEAPR_DAY,REGIST_DAY,GB_CD,VIOL_BD_YN,GEOIDN,BLDG_PNU,BLDG_PNU_Y,BLD_UNLICE,BD_MGT_SN,SGG_OID,COL_ADM_SE,geometry
20,0000201987654438497000000000,,,0,0,1165010800113150000,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B001000000012ZCLD,,,,1165010800113150003020166,5079,11650,"POLYGON ((201988.318 443851.6610000003, 201988.5209999997 443851.0669999998, 201989.0209999997 443851.2229999993, 201989.943 443848.9729999993, 201986.3810000001 443847.7550000008, 201985.5530000003 443850.5050000008, 201988.318 443851.6610000003))"
21,2004202161454440115500000000,타임빌딩,타임빌딩,13,2,1165010800113160029,413.17,4987.67,694.4,44.1,21,04000,59.5,589.11,17217,20040413,20210522,0,0,B001000000012U5CR,,,,1165010800113160029020325,23222,11650,"POLYGON ((202175.3689999999 444006.7850000001, 202153.227 443998.6290000007, 202146.7750000004 444015.4100000001, 202172.7290000003 444025.1600000001, 202174.182 444021.7219999991, 202170.2750000004 444020.3469999991, 202175.3689999999 444006.7850000001))"
22,1984202237664440817200000000,,대경빌딩,8,1,1165010800113170005,190.8,1599.98,358.9,28.3,21,03000,53.1624,373.4355,14264,19841112,20190320,0,0,B001000000012U2W9,,,,1165010800113170006020007,3445,11650,"POLYGON ((202248.1979999999 444079.7210000008, 202231.0580000002 444073.284, 202227.0889999997 444083.6280000005, 202244.2460000003 444090.2210000008, 202248.1979999999 444079.7210000008))"
23,1992202207814440389600000000,세계빌딩,,9,3,1165010800113170031,691.62,8172.74,1153.1,34.7,21,04000,59.98,480.94,14271,19920703,20210706,0,0,B001000000012U5L1,,,,1165010800113170032020012,15202,11650,"POLYGON ((202218.5109999999 444055.534, 202219.6830000002 444052.5649999995, 202218.9950000001 444052.3460000008, 202219.4170000004 444051.3460000008, 202219.9170000004 444051.3149999995, 202220.5109999999 444051.0030000005, 202226.8859999999 444033.409, 202197.2750000004 444022.0649999995, 202188.9939999999 444044.3790000007, 202191.6349999998 444045.4409999996, 202191.3380000005 444046.7219999991, 202198.2139999997 444049.2530000005, 202198.7759999996 444047.6600000001, 202210.9639999997 444052.5969999991, 202211.3540000003 444053.6290000007, 202211.9009999996 444054.159, 202212.7759999996 444054.3149999995, 202213.5259999996 444054.0649999995, 202218.5109999999 444055.534))"
24,1989202260304441507700000000,대동빌딩,,14,4,1165010800113060008,607.73,10510.47,1017.0,56.85,42,03000,59.7571,754.5831,17151,19891020,20210121,0,0,B001000000012U5N3,,,,1165010800113060008020106,15898,11650,"POLYGON ((202269.5279999999 444161.2210000008, 202274.2939999998 444148.784, 202274.8559999997 444148.9399999995, 202275.2470000004 444148.8149999995, 202275.4970000004 444148.6280000005, 202276.2939999998 444146.0960000008, 202276.1380000003 444145.7530000005, 202275.9500000002 444145.5030000005, 202252.9179999996 444136.9719999991, 202252.4800000004 444137.1909999996, 202252.2769999998 444137.5040000007, 202251.4960000003 444139.8469999991, 202251.7929999996 444140.1290000007, 202252.2769999998 444140.3790000007, 202248.466 444149.7850000001, 202245.0130000003 444148.3159999996, 202242.8250000002 444154.5350000001, 202268.9189999998 444164.6270000003, 202269.3099999996 444164.5960000008, 202269.591 444164.409, 202270.4500000002 444161.6899999995, 202270.1380000003 444161.4710000008, 202269.5279999999 444161.2210000008))"
25,2003202117674440361000000000,,벨라채 오피스텔,12,5,1165010800113160017,959.05,17268.73,1600.1,46.97,42,14000,59.94,675.78,17216,20030828,20171104,0,0,B001000000012YVFP,,,,1165010800113160017020011,3288,11650,"POLYGON ((202123.682 444056.0360000003, 202136.807 444021.4100000001, 202119.4929999998 444014.5979999993, 202114.3540000003 444026.6300000008, 202106.6339999996 444023.6919999998, 202097.4780000001 444047.4110000003, 202119.5410000002 444055.8790000007, 202119.9160000002 444054.7860000003, 202123.682 444056.0360000003))"
26,0000201875104440292300000000,서일중학교,교육문화회관,3,1,1165010800113130000,1565.6,4301.42,0.0,15.3,21,10000,0.0,0.0,100190912,,20200425,0,0,B001000000013074R,,,,1165010800113130011020310,22735,11650,"POLYGON ((201860.9910000004 444017.4460000005, 201860.7249999996 444017.352, 201858.3509999998 444023.1649999991, 201857.7879999997 444024.5399999991, 201855.2410000004 444023.4460000005, 201851.0389999999 444034.6960000005, 201853.3830000004 444035.602, 201853.1009999998 444036.6339999996, 201852.5549999997 444036.4149999991, 201850.477 444042.352, 201851.0549999997 444042.5079999994, 201848.7889999999 444048.7589999996, 201855.3360000001 444051.1960000005, 201852.773 444058.0399999991, 201853.2419999996 444058.227, 201856.4450000003 444059.4460000005, 201867.2419999996 444063.5710000005, 201876.1009999998 444040.7899999991, 201877.273 444040.6960000005, 201877.9139999999 444043.0079999994, 201879.9450000003 444042.1960000005, 201881.4919999996 444040.7899999991, 201882.3830000004 444039.2899999991, 201882.8200000003 444037.852, 201882.6330000004 444035.8839999996, 201881.9919999996 444034.1339999996, 201881.0080000004 444032.5710000005, 201880.0549999997 444031.2899999991, 201881.648 444030.7899999991, 201886.8509999998 444032.7899999991, 201888.273 444028.727, 201897.352 444031.9759999998, 201900.5700000003 444029.1319999993, 201903.3360000001 444025.8200000003, 201905.5549999997 444022.1950000003, 201907.3360000001 444017.8829999994, 201908.0549999997 444015.7569999993, 201901.7580000004 444013.0700000003, 201902.773 444010.1950000003, 201881.6009999998 444002.1640000008, 201880.3499999996 444005.1950000003, 201873.6320000002 444002.5089999996, 201871.4289999995 444008.8210000005, 201869.4910000004 444008.0710000005, 201867.2570000002 444014.2899999991, 201869.0539999995 444014.9149999991, 201867.3660000004 444019.977, 201860.9910000004 444017.4460000005))"
27,2008202100654439146600000000,부띠크 모나코,,27,5,1165010800113160005,1713.13,54844.94,4284.8,105.9,21,14000,39.98,866.98,100182928,20080814,20200918,0,,B001000000012ZD81,,,,1165010800113160005000001,16977,11650,"POLYGON ((202122.5199999996 443941.2139999997, 202134.9680000003 443908.9690000005, 202134.9440000001 443908.6539999992, 202134.8030000003 443908.1730000004, 202134.5279999999 443907.8139999993, 202109.6660000002 443898.2310000006, 202108.6540000001 443900.5759999994, 202101.5180000002 443897.8379999995, 202102.4479999999 443895.4330000002, 202085.0690000001 443888.7520000003, 202083.9740000004 443891.3560000006, 202080.2580000004 443889.9849999994, 202079.7999999998 443889.9330000002, 202079.4189999998 443889.9470000006, 202079.1490000002 443890.0299999993, 202078.7949999999 443890.4890000001, 202066.5180000002 443924.4499999993, 202066.5199999996 443924.7750000004, 202066.659 443925.2650000006, 202067.0690000001 443925.5800000001, 202083.7209999999 443931.9790000003, 202086.801 443923.9629999995, 202106.0290000001 443931.3530000001, 202104.608 443935.2200000007, 202121.3930000002 443941.7369999997, 202121.7649999997 443941.6999999993, 202122.2630000003 443941.5380000006, 202122.5199999996 443941.2139999997))"
28,0000201911794436228400000000,,,0,0,1165010800113230009,0.0,0.0,0.0,0.0,,,0.0,0.0,,,20110209,,,B0010000000131MZ4,,,,1165010800113230009023200,7429,11650,"POLYGON ((201914.7039999999 443626.4419999998, 201916.9380000001 443620.5979999993, 201909.4380000001 443617.7860000003, 201906.6569999997 443625.1300000008, 201914.0789999999 443627.8479999993, 201914.1730000004 443627.8800000008, 201914.7039999999 443626.4419999998))"
29,2002202085134440021300000000,현대성우주상복합아파트,,23,8,1165010800113160015,2012.04,42816.15,3002.3,83.3,42,02000,67.02,969.36,17215,20021128,20171106,0,0,B001000000012ZA0P,,,,1165010800113160033027662,1909,11650,"POLYGON ((202110.415 443968.2530000005, 202087.3830000004 443959.4729999993, 202059.3210000005 444032.943, 202085.6189999999 444043.2860000003, 202095.8370000003 444017.7540000007, 202092.415 444016.4729999993, 202110.415 443968.2530000005))"
